x,y,Frequency
43.253563,-79.862187,13
43.534328,-80.319748,13
43.747289,-80.359354,13
49.810415,-97.137854,13
45.512184,-73.659772,13
46.234265,-63.212865,13
44.647221,-63.590564,13
43.326047,-79.800954,13
43.133683,-80.731033,13
49.194198,-123.098791,13
49.207934,-122.913974,13
49.886451,-119.435324,13
49.214986,-122.987453,13
45.599958,-73.299319,12
,0,12
48.419563,-71.850215,12
,0,12
,0,12
47.487036,-53.086027,12
47.65367,-67.305423,12
49.945515,-96.976856,12
,0,12
45.999919,-61.087997,12
45.392719,-75.719286,12
42.31139,-83.008071,12
45.376713,-75.704672,12
45.373005,-75.681817,12
45.422604,-75.681834,12
,0,12
49.847197,-99.948596,12
49.885646,-97.149543,12
48.429288,-123.330764,12
49.280992,-123.026567,12
43.841721,-79.028791,12
43.657991,-79.379199,12
43.45249,-80.484114,12
43.669788,-79.395974,12
48.391562,-89.237062,12
43.260551,-79.87373,12
43.257427,-79.865112,12
45.383937,-75.732602,12
52.123,-106.665554,12
50.447108,-104.60093,12
47.564162,-52.722673,12
43.647881,-79.566408,12
43.073626,-80.118753,12
45.399799,-73.53208,12
45.433959,-75.715813,12
49.935773,-97.104838,12
49.950577,-97.22372,12
50.248603,-99.839389,12
50.627862,-96.993989,12
49.507527,-98.005592,12
44.711838,-63.599699,12
43.934374,-78.863226,12
48.10718,-66.124804,12
42.836002,-80.30591,12
51.051574,-114.089852,12
53.537554,-113.502861,12
44.92061,-62.526951,12
45.583159,-62.616108,12
46.143672,-60.19332,12
45.83714,-64.152145,12
44.374489,-64.525693,12
45.945723,-66.689434,12
50.908206,-97.213137,12
49.224586,-122.967727,12
,0,11
45.941098,-66.66588,11
,0,11
,0,11
,0,11
,0,11
49.133287,-122.879005,11
45.898788,-64.372599,11
49.214808,-123.019435,11
49.26584,-122.953382,11
49.273922,-122.976966,11
45.786364,-73.17614,11
,0,11
,0,11
55.74248,-97.849243,11
43.465704,-79.683867,11
43.662626,-79.386147,11
44.647415,-63.619253,11
43.680467,-79.669842,11
49.894548,-97.139972,11
58.760636,-94.129109,11
49.229188,-122.945896,11
49.245599,-123.01986,11
44.5939,-77.563807,11
,0,10
,0,10
,0,10
47.189907,-67.91176,10
,0,10
48.419563,-71.850215,10
48.419563,-71.850215,10
48.423492,-71.874005,10
,0,10
,0,10
43.459781,-80.451725,10
45.60283,-73.451716,10
45.434397,-75.686122,10
45.4198,-75.69908,10
47.029004,-64.962775,10
,0,10
45.862774,-73.231326,10
,0,10
45.662317,-72.776816,10
45.625874,-72.943894,10
49.250788,-122.936256,10
49.215756,-122.996577,10
43.648997,-79.379185,10
45.831051,-77.123681,10
51.066661,-114.117886,10
45.398224,-75.693434,10
43.44803,-80.490991,10
45.542033,-73.612243,10
,0,10
,0,10
45.41771,-75.698233,10
49.885792,-97.168211,10
52.169573,-106.664877,10
44.705266,-63.610631,10
48.648839,-123.402081,10
49.792401,-97.157057,10
49.666997,-96.637105,10
51.228933,-101.356361,10
49.74306,-96.879951,10
49.895714,-97.009854,10
43.240557,-79.095621,10
49.24382,-122.986934,10
49.226128,-122.991444,10
49.260352,-122.902849,10
51.429132,-116.183393,9
,0,9
,0,9
45.447848,-73.094224,9
45.32393,-75.837319,9
,0,9
47.601148,-52.848962,9
44.724463,-63.713927,9
45.505717,-73.675223,9
45.651057,-73.493807,9
43.646179,-79.380447,9
49.238773,-123.015922,9
,0,9
45.395314,-75.717947,9
,0,9
45.543419,-73.491315,9
45.366582,-75.787405,9
46.267925,-63.104814,9
62.451089,-114.383433,9
49.816315,-97.18864,9
49.938201,-97.156257,9
50.133073,-97.330209,9
51.05926,-99.517799,9
50.436574,-100.590204,9
49.231739,-100.05779,9
49.273417,-122.963667,9
45.611228,-73.617851,9
43.561458,-79.590114,9
49.866226,-97.195331,9
50.230371,-99.465485,9
49.227892,-65.728821,9
48.179275,-65.985758,9
43.834112,-66.120534,9
43.691461,-79.753951,9
51.151723,-100.04542,9
,0,9
46.102405,-64.714074,9
49.28283,-122.994978,9
49.221609,-122.977593,9
49.211662,-122.954663,9
49.252498,-122.899486,9
49.207315,-122.960899,9
,0,8
45.540366,-73.546328,8
,0,8
,0,8
,0,8
45.475861,-73.836908,8
,0,8
48.419563,-71.850215,8
,0,8
45.475861,-73.836908,8
,0,8
,0,8
,0,8
45.471517,-73.85845,8
,0,8
,0,8
45.900291,-64.37903,8
49.282889,-123.007846,8
49.22195,-123.00056,8
45.899171,-64.374263,8
45.596107,-73.535357,8
53.885506,-119.130783,8
45.606725,-73.53015,8
49.224748,-123.041438,8
49.837983,-119.48787,8
,0,8
43.649729,-79.381225,8
45.594983,-73.634789,8
49.212954,-122.978338,8
49.221997,-122.975338,8
49.281025,-122.979649,8
49.27291,-123.014092,8
43.51974,-80.480867,8
45.939278,-66.63531,8
43.522121,-80.228598,8
45.645052,-73.584383,8
48.349575,-64.682298,8
46.923822,-65.823223,8
45.695097,-73.487394,8
45.60542,-73.534431,8
45.670175,-73.509505,8
,0,8
51.068603,-114.086515,8
53.814995,-101.244673,8
45.320923,-75.925886,8
43.520879,-79.880806,8
43.693947,-79.738382,8
45.600019,-73.533151,8
45.483541,-73.46815,8
,0,8
50.440331,-96.977598,8
49.951424,-97.140769,8
49.90401,-97.134527,8
49.895079,-97.00326,8
49.850445,-100.933699,8
50.225346,-98.950397,8
49.884785,-97.7559,8
49.191782,-100.497525,8
49.101568,-97.556763,8
49.26416,-122.964718,8
49.104898,-122.652954,8
49.248096,-122.933057,8
50.285775,-107.79974,8
55.730308,-97.868973,8
45.425949,-75.722488,8
49.258927,-122.895294,8
49.233347,-122.956337,8
49.270158,-122.991682,8
49.267987,-122.979813,8
49.225337,-122.958453,8
49.264623,-122.925907,8
49.2843,-123.013858,8
51.46294,-112.722177,7
55.2175,-118.789558,7
,0,7
,0,7
43.765905,-79.412591,7
,0,7
,0,7
47.406304,-54.886839,7
,0,7
,0,7
45.522022,-73.593806,7
45.502635,-73.561146,7
,0,7
,0,7
49.18347,-119.554727,7
49.865905,-97.060356,7
,0,7
45.961932,-66.640923,7
45.413934,-75.64061,7
,0,7
45.385847,-75.67411,7
46.448079,-66.47617,7
45.419643,-75.698621,7
,0,7
,0,7
43.649322,-79.382302,7
45.515849,-73.553417,7
49.659229,-112.871307,7
53.536576,-113.321995,7
49.697392,-112.827279,7
46.557511,-80.870337,7
45.489908,-73.633349,7
,0,7
,0,7
45.481351,-73.584992,7
,0,7
43.35332,-80.328468,7
53.52261,-113.459365,7
,0,7
43.561056,-79.589871,7
,0,7
,0,7
,0,7
,0,7
,0,7
,0,7
43.327493,-79.899897,7
,0,7
,0,7
,0,7
,0,7
,0,7
,0,7
,0,7
,0,7
,0,7
49.163566,-122.662448,7
43.405451,-80.46819,7
49.839273,-97.093628,7
49.881875,-97.124873,7
49.894606,-97.111986,7
49.858109,-97.198004,7
49.888177,-97.145595,7
49.801864,-97.168995,7
49.853893,-97.111975,7
49.894404,-97.254417,7
49.891957,-97.121985,7
49.862164,-97.078243,7
49.568049,-97.181336,7
49.44048,-96.9949,7
49.316122,-96.954685,7
49.26385,-97.343992,7
49.65752,-98.343429,7
49.356201,-98.616385,7
49.403266,-97.396957,7
49.530365,-98.55214,7
49.010447,-97.205734,7
50.251421,-96.061417,7
49.52472,-96.510583,7
51.119842,-98.298114,7
43.81719,-79.231942,7
48.933257,-55.659457,7
46.707785,-64.236445,7
53.351312,-113.729534,7
45.508682,-73.565247,7
,0,7
46.574815,-81.195304,7
43.745982,-79.76332,7
45.964035,-66.729863,6
,0,6
49.938068,-97.171967,6
,0,6
46.043617,-73.107206,6
45.289152,-72.997932,6
45.565995,-73.20397,6
45.196613,-72.750337,6
45.34406,-72.520241,6
45.625963,-72.944014,6
,0,6
,0,6
,0,6
,0,6
,0,6
45.475861,-73.836908,6
,0,6
,0,6
46.327447,-72.408621,6
,0,6
45.489252,-73.635739,6
45.613905,-73.451979,6
45.686218,-73.437906,6
44.725199,-63.667093,6
45.491524,-73.568127,6
48.454796,-89.230329,6
51.177634,-115.570174,6
53.278532,-110.005645,6
45.522278,-73.552891,6
45.332072,-73.267579,6
45.527252,-73.3575,6
45.333081,-75.783886,6
45.338592,-75.729015,6
45.759262,-77.13262,6
49.791952,-92.844924,6
44.48794,-80.175488,6
46.115483,-64.842654,6
43.650006,-79.379887,6
45.650166,-73.297592,6
45.446604,-75.672754,6
45.496204,-75.675984,6
47.798985,-64.891801,6
45.545663,-66.063992,6
45.432057,-75.696645,6
49.887242,-97.181581,6
49.824663,-97.113984,6
49.245533,-123.127347,6
46.81363,-71.206815,6
42.969703,-81.331945,6
46.817523,-71.2123,6
45.974465,-61.132587,6
45.434956,-73.639579,6
49.981806,-98.290816,6
49.46104,-97.918584,6
45.330077,-75.727405,6
45.389955,-75.725192,6
46.088473,-64.777489,6
43.700357,-79.740456,6
53.815265,-101.242846,6
49.827481,-99.914525,6
49.330074,-124.339081,6
45.421969,-75.690115,6
53.497913,-112.072942,6
43.69873,-79.738451,6
47.189907,-67.91176,6
43.865305,-78.874479,6
44.601959,-79.364705,6
43.673141,-79.377132,6
,0,6
52.662287,-105.35991,6
45.407599,-65.966031,6
45.278883,-66.058425,6
43.645543,-79.382547,6
45.522876,-73.339646,6
42.886645,-79.188107,6
51.07521,-114.112994,6
42.835106,-80.301835,6
44.737937,-77.15323,6
44.652266,-63.588431,6
48.475461,-81.334504,6
43.227359,-79.761609,6
43.855565,-79.38995,6
43.436488,-79.708887,6
44.056802,-79.429548,6
43.595134,-79.768545,6
43.501294,-79.640466,6
43.584884,-79.645183,6
43.633487,-79.641314,6
46.909373,-71.306056,6
49.892187,-97.162868,6
49.873958,-97.19082,6
49.182277,-97.937485,6
55.743153,-97.854699,6
50.387978,-97.25907,6
50.385829,-99.086895,6
49.603413,-97.04082,6
50.771968,-99.492445,6
51.175367,-100.700302,6
49.845659,-99.951313,6
49.248391,-122.986856,6
43.65376,-79.372853,6
48.526415,-68.439461,6
48.829524,-67.586688,6
48.852173,-67.52356,6
48.051276,-65.476739,6
46.411319,-63.792714,6
43.656591,-79.386527,6
47.526087,-52.768919,6
49.745971,-107.488142,6
49.277308,-123.129985,6
49.268795,-123.133785,6
49.045548,-122.794975,6
49.14457,-122.850017,6
44.741337,-63.252839,6
49.208832,-122.949495,6
45.47962,-73.815896,5
44.73155,-63.754467,5
45.502631,-73.575559,5
,0,5
46.079107,-64.818243,5
52.162138,-122.178617,5
,0,5
48.841519,-67.531824,5
44.227407,-76.495415,5
,0,5
,0,5
45.527178,-73.483123,5
45.538694,-73.503323,5
,0,5
42.994132,-81.2579,5
,0,5
49.859837,-95.922282,5
45.495981,-73.483277,5
45.346211,-73.765688,5
45.516829,-73.557994,5
51.042514,-114.068133,5
42.984402,-81.252753,5
46.274905,-63.108294,5
,0,5
43.492947,-80.552308,5
43.531708,-79.671781,5
44.718049,-63.588245,5
56.069946,-118.38238,5
46.819816,-71.236295,5
50.491422,-104.663766,5
49.874937,-97.167111,5
,0,5
52.114111,-122.149661,5
49.109958,-122.726822,5
53.926922,-122.803728,5
49.269405,-122.764399,5
49.465474,-119.579681,5
49.031286,-119.466516,5
49.164576,-121.960517,5
43.652413,-79.368227,5
45.53878,-73.544133,5
45.431616,-75.669393,5
50.999588,-114.067672,5
47.555473,-52.767062,5
47.977944,-66.355908,5
46.083947,-67.203325,5
,0,5
45.500357,-73.567594,5
49.104391,-122.678328,5
49.913879,-97.182682,5
50.12498,-96.928642,5
45.403002,-75.718878,5
45.582086,-73.210745,5
49.028423,-118.451574,5
46.803882,-71.290857,5
52.160205,-106.680219,5
49.256722,-122.91036,5
,0,5
45.522278,-73.552891,5
49.280362,-122.976659,5
45.434772,-75.681168,5
,0,5
46.805968,-71.223697,5
45.308235,-73.251097,5
,0,5
,0,5
,0,5
,0,5
44.79013,-63.701881,5
45.416294,-75.697238,5
,0,5
,0,5
46.439494,-63.63914,5
,0,5
43.48073,-80.522044,5
45.410168,-75.698115,5
48.468239,-68.515865,5
48.474232,-123.363133,5
51.646276,-99.929778,5
49.875751,-97.265388,5
49.924873,-97.164681,5
49.919145,-97.194958,5
49.888929,-97.143677,5
49.939,-97.058176,5
49.190434,-97.932119,5
49.619235,-100.261181,5
54.872352,-100.020752,5
50.779976,-101.281973,5
51.120145,-97.76803,5
50.065626,-97.445149,5
49.674195,-97.998128,5
49.20243,-98.895528,5
49.869387,-99.360716,5
49.876429,-99.961851,5
49.848439,-99.951827,5
49.892844,-96.627767,5
49.842401,-119.670038,5
,0,5
43.750035,-79.347107,5
,0,5
